
FOOD	SIZE	PRICE
Super Hawaiian Pizza (Original, Golden or Thin Crust)	Large	$25.99
Super Hawaiian Pizza (Mozza-Loaded Crust)	Large	$26.49
Super Hawaiian Pizza (Original or Thin Crust)	Jumbo	$29.99
Super Taco Pizza (Original or Golden Crust)	Small	$16.99
Super Taco Pizza (Original, Golden or Thin Crust)	Medium	$21.99
Super Taco Pizza (Mozza-Loaded Crust)	Medium	$22.49
Super Taco Pizza (Original, Golden or Thin Crust)	Large	$25.99
Super Taco Pizza (Mozza-Loaded Crust)	Large	$26.49
Super Taco Pizza (Original or Thin Crust)	Jumbo	$29.99
The Don (Original or Golden Crust)	Small	$16.99
The Don (Original, Golden or Thin Crust)	Medium	$21.99
The Don (Mozza-Loaded Crust)	Medium	$22.49
The Don (Original, Golden or Thin Crust)	Large	$25.99
The Don (Mozza-Loaded Crust)	Large	$26.49
The Don (Original or Thin Crust)	Jumbo	$29.99
Super Veggie Pizza (Original or Golden Crust)	Small	$15.99
Super Veggie Pizza (Original, Golden or Thin Crust)	Medium	$20.99
Super Veggie Pizza (Mozza-Loaded Crust)	Medium	$22.49
Super Veggie Pizza (Original, Golden or Thin Crust)	Large	$24.99
Super Veggie Pizza (Mozza-Loaded Crust)	Large	$26.49
Super Veggie Pizza (Original or Thin Crust)	Jumbo	$28.99
BBQ Bacon Cheeseburger Pizza (Original Crust)	Mini	$5.99
BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)	Small	$15.99
BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)	Medium	$19.99
BBQ Bacon Cheeseburger Pizza (Mozza-Loaded Crust)	Medium	$22.24
BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)	Large	$23.99
BBQ Bacon Cheeseburger Pizza (Mozza-Loaded Crust)	Large	$26.23
BBQ Bacon Cheeseburger Pizza (Original, Golden or Thin Crust)	Jumbo	$27.99
Chipotle Chicken and Bacon Pizza (Original Crust)	Mini	$5.99
Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)	Small	$15.99
Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)	Medium	$19.99
Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust)	Medium	$22.24
Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)	Large	$23.99
Chipotle Chicken and Bacon Pizza (Mozza-Loaded Crust)	Large	$26.23
Chipotle Chicken and Bacon Pizza (Original, Golden or Thin Crust)	Jumbo	$27.99
Margherita Pizza (Original, Golden or Thin Crust)	Medium	$9.99
Margherita Pizza (Thin Crust)	Large	$13.99
Margherita Chicken Pizza (Original, Golden or Thin Crust)	Medium	$11.99
Margherita Chicken Pizza (Thin Crust)	Large	$15.99
Gluten-Free Pizzas
Baked or Unbaked
Gluten-Free Cheese Pizza		$11.99
Gluten-Free Beef Pizza		$12.99
Gluten-Free Pepperoni Pizza		$12.99
Gluten-Free Sausage Pizza		$12.99
Gluten-Free Classic Combo Pizza		$15.99
Gluten-Free Meat Combo Pizza		$15.99
